investor_a,investor_b,startup_id,city
8 Decimal Capital,CoinNess,S0228,Singapore
8 Decimal Capital,Dragonfly,S0228,Singapore
8 Decimal Capital,MX Capital,S0228,Singapore
8 Decimal Capital,Transferance Fund,S0228,Singapore
CoinNess,Dragonfly,S0228,Singapore
CoinNess,MX Capital,S0228,Singapore
CoinNess,Transferance Fund,S0228,Singapore
Dragonfly,MX Capital,S0228,Singapore
Dragonfly,Transferance Fund,S0228,Singapore
MX Capital,Transferance Fund,S0228,Singapore
Bessemer Venture Partners,Checkout.com,S0229,Singapore
Bessemer Venture Partners,Endeavor Catalyst,S0229,Singapore
Bessemer Venture Partners,Insight Partners,S0229,Singapore
Bessemer Venture Partners,Vitruvian Partners,S0229,Singapore
Checkout.com,Endeavor Catalyst,S0229,Singapore
Checkout.com,Insight Partners,S0229,Singapore
Checkout.com,Vitruvian Partners,S0229,Singapore
Endeavor Catalyst,Insight Partners,S0229,Singapore
Endeavor Catalyst,Vitruvian Partners,S0229,Singapore
Insight Partners,Vitruvian Partners,S0229,Singapore
Accel,Andreessen Horowitz,S0230,Singapore
Accel,Coinbase Ventures,S0230,Singapore
Accel,Tiger Global Management,S0230,Singapore
Accel,Volt Capital,S0230,Singapore
Andreessen Horowitz,Coinbase Ventures,S0230,Singapore
Andreessen Horowitz,Tiger Global Management,S0230,Singapore
Andreessen Horowitz,Volt Capital,S0230,Singapore
Coinbase Ventures,Tiger Global Management,S0230,Singapore
Coinbase Ventures,Volt Capital,S0230,Singapore
Tiger Global Management,Volt Capital,S0230,Singapore
Activant Capital,Baillie Gifford,S0231,Singapore
Activant Capital,Khazanah Nasional,S0231,Singapore
Activant Capital,LeapFrog Investments,S0231,Singapore
Activant Capital,MetLife,S0231,Singapore
Baillie Gifford,Khazanah Nasional,S0231,Singapore
Baillie Gifford,LeapFrog Investments,S0231,Singapore
Baillie Gifford,MetLife,S0231,Singapore
Khazanah Nasional,LeapFrog Investments,S0231,Singapore
Khazanah Nasional,MetLife,S0231,Singapore
LeapFrog Investments,MetLife,S0231,Singapore
Blackbird Ventures,HSG,S0232,Singapore
Blackbird Ventures,Hillhouse Investment,S0232,Singapore
Blackbird Ventures,Salesforce Ventures,S0232,Singapore
Blackbird Ventures,Sequoia Capital,S0232,Singapore
HSG,Hillhouse Investment,S0232,Singapore
HSG,Salesforce Ventures,S0232,Singapore
HSG,Sequoia Capital,S0232,Singapore
Hillhouse Investment,Salesforce Ventures,S0232,Singapore
Hillhouse Investment,Sequoia Capital,S0232,Singapore
Salesforce Ventures,Sequoia Capital,S0232,Singapore
Ripple,Riverwood Capital,S0233,Singapore
Ripple,Temasek Holdings,S0233,Singapore
Ripple,Tribe Capital,S0233,Singapore
Ripple,Vertex Ventures,S0233,Singapore
Riverwood Capital,Temasek Holdings,S0233,Singapore
Riverwood Capital,Tribe Capital,S0233,Singapore
Riverwood Capital,Vertex Ventures,S0233,Singapore
Temasek Holdings,Tribe Capital,S0233,Singapore
Temasek Holdings,Vertex Ventures,S0233,Singapore
Tribe Capital,Vertex Ventures,S0233,Singapore
B Capital,Lightspeed Venture Partners,S0234,Singapore
B Capital,Peak XV Partners,S0234,Singapore
B Capital,VentureSouq,S0234,Singapore
B Capital,Y Combinator,S0234,Singapore
Lightspeed Venture Partners,Peak XV Partners,S0234,Singapore
Lightspeed Venture Partners,VentureSouq,S0234,Singapore
Lightspeed Venture Partners,Y Combinator,S0234,Singapore
Peak XV Partners,VentureSouq,S0234,Singapore
Peak XV Partners,Y Combinator,S0234,Singapore
VentureSouq,Y Combinator,S0234,Singapore
Alibaba Group,Gaorong Capital,S0235,Singapore
Alibaba Group,HSG,S0235,Singapore
Alibaba Group,IDG Capital,S0235,Singapore
Alibaba Group,Tencent,S0235,Singapore
Gaorong Capital,HSG,S0235,Singapore
Gaorong Capital,IDG Capital,S0235,Singapore
Gaorong Capital,Tencent,S0235,Singapore
HSG,IDG Capital,S0235,Singapore
HSG,Tencent,S0235,Singapore
IDG Capital,Tencent,S0235,Singapore
500 Global,EigenLabs,S0236,Singapore
500 Global,Further Ventures,S0236,Singapore
500 Global,Hack VC,S0236,Singapore
500 Global,ZKsync,S0236,Singapore
EigenLabs,Further Ventures,S0236,Singapore
EigenLabs,Hack VC,S0236,Singapore
EigenLabs,ZKsync,S0236,Singapore
Further Ventures,Hack VC,S0236,Singapore
Further Ventures,ZKsync,S0236,Singapore
Hack VC,ZKsync,S0236,Singapore
Benchmark,HSG,S0237,Singapore
Benchmark,Tencent,S0237,Singapore
Benchmark,ZhenFund,S0237,Singapore
HSG,Tencent,S0237,Singapore
HSG,ZhenFund,S0237,Singapore
Tencent,ZhenFund,S0237,Singapore
CDH Investments,HSG,S0453,Shanghai
CDH Investments,JD.com,S0453,Shanghai
CDH Investments,LG Electronics,S0453,Shanghai
CDH Investments,Tencent,S0453,Shanghai
HSG,JD.com,S0453,Shanghai
HSG,LG Electronics,S0453,Shanghai
HSG,Tencent,S0453,Shanghai
JD.com,LG Electronics,S0453,Shanghai
JD.com,Tencent,S0453,Shanghai
LG Electronics,Tencent,S0453,Shanghai
Alibaba Group,HSG,S0454,Shanghai
Alibaba Group,Hillhouse Investment,S0454,Shanghai
Alibaba Group,Temasek Holdings,S0454,Shanghai
Alibaba Group,Tencent,S0454,Shanghai
HSG,Hillhouse Investment,S0454,Shanghai
HSG,Temasek Holdings,S0454,Shanghai
HSG,Tencent,S0454,Shanghai
Hillhouse Investment,Temasek Holdings,S0454,Shanghai
Hillhouse Investment,Tencent,S0454,Shanghai
Temasek Holdings,Tencent,S0454,Shanghai
BAI capital,Hillhouse Investment,S0455,Shanghai
BAI capital,IDG Capital,S0455,Shanghai
BAI capital,Qiming Venture Partners,S0455,Shanghai
BAI capital,Walden International,S0455,Shanghai
Hillhouse Investment,IDG Capital,S0455,Shanghai
Hillhouse Investment,Qiming Venture Partners,S0455,Shanghai
Hillhouse Investment,Walden International,S0455,Shanghai
IDG Capital,Qiming Venture Partners,S0455,Shanghai
IDG Capital,Walden International,S0455,Shanghai
Qiming Venture Partners,Walden International,S0455,Shanghai
HSG,Lapam Capital,S0456,Shanghai
HSG,Prosperity7 Ventures,S0456,Shanghai
HSG,Sky9 Capital,S0456,Shanghai
HSG,Summer Capital,S0456,Shanghai
Lapam Capital,Prosperity7 Ventures,S0456,Shanghai
Lapam Capital,Sky9 Capital,S0456,Shanghai
Lapam Capital,Summer Capital,S0456,Shanghai
Prosperity7 Ventures,Sky9 Capital,S0456,Shanghai
Prosperity7 Ventures,Summer Capital,S0456,Shanghai
Sky9 Capital,Summer Capital,S0456,Shanghai
Beijing Taikang Investment,BioVenture,S0457,Shanghai
Beijing Taikang Investment,China Resources Capital-China Resources Xianglianhe Fund.,S0457,Shanghai
Beijing Taikang Investment,IDG Capital,S0457,Shanghai
Beijing Taikang Investment,Neovision Capital,S0457,Shanghai
BioVenture,China Resources Capital-China Resources Xianglianhe Fund.,S0457,Shanghai
BioVenture,IDG Capital,S0457,Shanghai
BioVenture,Neovision Capital,S0457,Shanghai
China Resources Capital-China Resources Xianglianhe Fund.,IDG Capital,S0457,Shanghai
China Resources Capital-China Resources Xianglianhe Fund.,Neovision Capital,S0457,Shanghai
IDG Capital,Neovision Capital,S0457,Shanghai
Granite Asia,INCE Capital,S0458,Shanghai
Granite Asia,Lilly Asia Ventures,S0458,Shanghai
Granite Asia,Matrix Partners China,S0458,Shanghai
Granite Asia,Vivo Capital,S0458,Shanghai
INCE Capital,Lilly Asia Ventures,S0458,Shanghai
INCE Capital,Matrix Partners China,S0458,Shanghai
INCE Capital,Vivo Capital,S0458,Shanghai
Lilly Asia Ventures,Matrix Partners China,S0458,Shanghai
Lilly Asia Ventures,Vivo Capital,S0458,Shanghai
Matrix Partners China,Vivo Capital,S0458,Shanghai
Kingray Capital,Lapam Capital,S0459,Shanghai
Kingray Capital,Morningside,S0459,Shanghai
Kingray Capital,OrbiMed,S0459,Shanghai
Kingray Capital,Qiming Venture Partners,S0459,Shanghai
Lapam Capital,Morningside,S0459,Shanghai
Lapam Capital,OrbiMed,S0459,Shanghai
Lapam Capital,Qiming Venture Partners,S0459,Shanghai
Morningside,OrbiMed,S0459,Shanghai
Morningside,Qiming Venture Partners,S0459,Shanghai
OrbiMed,Qiming Venture Partners,S0459,Shanghai
China Internet Investment Fund,HSG,S0460,Shanghai
China Internet Investment Fund,Lightspeed China Partners,S0460,Shanghai
China Internet Investment Fund,Lightspeed Venture Partners,S0460,Shanghai
China Internet Investment Fund,Matrix Partners China,S0460,Shanghai
HSG,Lightspeed China Partners,S0460,Shanghai
HSG,Lightspeed Venture Partners,S0460,Shanghai
HSG,Matrix Partners China,S0460,Shanghai
Lightspeed China Partners,Lightspeed Venture Partners,S0460,Shanghai
Lightspeed China Partners,Matrix Partners China,S0460,Shanghai
Lightspeed Venture Partners,Matrix Partners China,S0460,Shanghai
CICC,CITIC Securities,S0461,Shanghai
CICC,CMB International Capital Corporation,S0461,Shanghai
CICC,China Life Insurance,S0461,Shanghai
CICC,SDIC Fund Management,S0461,Shanghai
CITIC Securities,CMB International Capital Corporation,S0461,Shanghai
CITIC Securities,China Life Insurance,S0461,Shanghai
CITIC Securities,SDIC Fund Management,S0461,Shanghai
CMB International Capital Corporation,China Life Insurance,S0461,Shanghai
CMB International Capital Corporation,SDIC Fund Management,S0461,Shanghai
China Life Insurance,SDIC Fund Management,S0461,Shanghai
IDG Capital,Prosperity7 Ventures,S0462,Shanghai
IDG Capital,SoftBank Vision Fund,S0462,Shanghai
IDG Capital,Vision Plus Capital,S0462,Shanghai
IDG Capital,Volcanics Venture,S0462,Shanghai
Prosperity7 Ventures,SoftBank Vision Fund,S0462,Shanghai
Prosperity7 Ventures,Vision Plus Capital,S0462,Shanghai
Prosperity7 Ventures,Volcanics Venture,S0462,Shanghai
SoftBank Vision Fund,Vision Plus Capital,S0462,Shanghai
SoftBank Vision Fund,Volcanics Venture,S0462,Shanghai
Vision Plus Capital,Volcanics Venture,S0462,Shanghai
Andreessen Horowitz,Bpifrance,S0751,Paris
Andreessen Horowitz,General Catalyst,S0751,Paris
Andreessen Horowitz,Lightspeed Venture Partners,S0751,Paris
Andreessen Horowitz,NVIDIA,S0751,Paris
Bpifrance,General Catalyst,S0751,Paris
Bpifrance,Lightspeed Venture Partners,S0751,Paris
Bpifrance,NVIDIA,S0751,Paris
General Catalyst,Lightspeed Venture Partners,S0751,Paris
General Catalyst,NVIDIA,S0751,Paris
Lightspeed Venture Partners,NVIDIA,S0751,Paris
Astorg,BlackRock,S0752,Paris
Astorg,CVC Capital Partners,S0752,Paris
Astorg,General Atlantic,S0752,Paris
Astorg,Partech,S0752,Paris
BlackRock,CVC Capital Partners,S0752,Paris
BlackRock,General Atlantic,S0752,Paris
BlackRock,Partech,S0752,Paris
CVC Capital Partners,General Atlantic,S0752,Paris
CVC Capital Partners,Partech,S0752,Paris
General Atlantic,Partech,S0752,Paris
Crane Venture Partners,Founders Future,S0753,Paris
Crane Venture Partners,IRIS,S0753,Paris
Crane Venture Partners,Speedinvest,S0753,Paris
Crane Venture Partners,Techstars,S0753,Paris
Founders Future,IRIS,S0753,Paris
Founders Future,Speedinvest,S0753,Paris
Founders Future,Techstars,S0753,Paris
IRIS,Speedinvest,S0753,Paris
IRIS,Techstars,S0753,Paris
Speedinvest,Techstars,S0753,Paris
Crowdcube,Kima Ventures,S0754,Paris
Crowdcube,LocalGlobe,S0754,Paris
Crowdcube,Speedinvest,S0754,Paris
Crowdcube,Y Combinator,S0754,Paris
Kima Ventures,LocalGlobe,S0754,Paris
Kima Ventures,Speedinvest,S0754,Paris
Kima Ventures,Y Combinator,S0754,Paris
LocalGlobe,Speedinvest,S0754,Paris
LocalGlobe,Y Combinator,S0754,Paris
Speedinvest,Y Combinator,S0754,Paris
Bpifrance,Elemental Impact,S0755,Paris
Bpifrance,Engine Ventures,S0755,Paris
Bpifrance,Entrepreneurs First,S0755,Paris
Bpifrance,Lowercarbon Capital,S0755,Paris
Elemental Impact,Engine Ventures,S0755,Paris
Elemental Impact,Entrepreneurs First,S0755,Paris
Elemental Impact,Lowercarbon Capital,S0755,Paris
Engine Ventures,Entrepreneurs First,S0755,Paris
Engine Ventures,Lowercarbon Capital,S0755,Paris
Entrepreneurs First,Lowercarbon Capital,S0755,Paris
Bpifrance,Cathay Innovation,S0756,Paris
Bpifrance,Headline,S0756,Paris
Bpifrance,Hitachi Ventures,S0756,Paris
Bpifrance,Hummingbird Ventures,S0756,Paris
Cathay Innovation,Headline,S0756,Paris
Cathay Innovation,Hitachi Ventures,S0756,Paris
Cathay Innovation,Hummingbird Ventures,S0756,Paris
Headline,Hitachi Ventures,S0756,Paris
Headline,Hummingbird Ventures,S0756,Paris
Hitachi Ventures,Hummingbird Ventures,S0756,Paris
AVP,Acequia Capital (AceCap),S0757,Paris
AVP,Bpifrance,S0757,Paris
AVP,European Innovation Council,S0757,Paris
AVP,Supernova Invest,S0757,Paris
Acequia Capital (AceCap),Bpifrance,S0757,Paris
Acequia Capital (AceCap),European Innovation Council,S0757,Paris
Acequia Capital (AceCap),Supernova Invest,S0757,Paris
Bpifrance,European Innovation Council,S0757,Paris
Bpifrance,Supernova Invest,S0757,Paris
European Innovation Council,Supernova Invest,S0757,Paris
Asabys Partners,Genesis Medtech,S0758,Paris
Asabys Partners,Gideon Strategic Partners,S0758,Paris
Asabys Partners,M&L Healthcare Investments,S0758,Paris
Asabys Partners,Sofinnova Partners,S0758,Paris
Genesis Medtech,Gideon Strategic Partners,S0758,Paris
Genesis Medtech,M&L Healthcare Investments,S0758,Paris
Genesis Medtech,Sofinnova Partners,S0758,Paris
Gideon Strategic Partners,M&L Healthcare Investments,S0758,Paris
Gideon Strategic Partners,Sofinnova Partners,S0758,Paris
M&L Healthcare Investments,Sofinnova Partners,S0758,Paris
Accel,Amazon,S0759,Paris
Accel,Creandum,S0759,Paris
Accel,FirstMark,S0759,Paris
Accel,UiPath,S0759,Paris
Amazon,Creandum,S0759,Paris
Amazon,FirstMark,S0759,Paris
Amazon,UiPath,S0759,Paris
Creandum,FirstMark,S0759,Paris
Creandum,UiPath,S0759,Paris
FirstMark,UiPath,S0759,Paris
Animoca Brands,Balderton Capital,S0760,Paris
Animoca Brands,Bpifrance,S0760,Paris
Animoca Brands,Sebastien Borget,S0760,Paris
Animoca Brands,XAnge,S0760,Paris
Balderton Capital,Bpifrance,S0760,Paris
Balderton Capital,Sebastien Borget,S0760,Paris
Balderton Capital,XAnge,S0760,Paris
Bpifrance,Sebastien Borget,S0760,Paris
Bpifrance,XAnge,S0760,Paris
Sebastien Borget,XAnge,S0760,Paris
Bessemer Venture Partners,Costanoa Ventures,S0903,Zurich
