founder_id,founder_name,startup_id,startup_name,city
F0001,Hed Kovetz,S0010,Silverfort,Tel Aviv
F0002,Yaron Kessner,S0010,Silverfort,Tel Aviv
F0003,Yariv Bash,S0011,Flytrex Aviation Ltd.,Tel Aviv
F0004,Dan Lahav,S0015,Irregular (formerly Pattern Labs),Tel Aviv
F0005,Eli David,S0015,Irregular (formerly Pattern Labs),Tel Aviv
F0006,Alon Kollmann,S0030,Clover Security,Tel Aviv
F0007,Or Chen,S0030,Clover Security,Tel Aviv
F0008,Shahar Papini,S0052,Attestable,Tel Aviv
F0009,Yogev Bar,S0052,Attestable,Tel Aviv
F0010,Chief Scientific Officer Yuval Naveh,S0069,OneStep.co,Tel Aviv
F0011,Jihan Wu,S0099,Bitmain,Beijing
F0012,Qiang Yang,S0100,4Paradigm,Beijing
F0013,Wenyuan Dai,S0100,4Paradigm,Beijing
F0014,Shiwei Hu,S0100,4Paradigm,Beijing
F0015,Jack Smith,S0101,Vungle,Beijing
F0016,Zain Jaffer,S0101,Vungle,Beijing
F0017,Kai Yu ***.**@horizon.ai,S0102,Horizon Robotics,Beijing
F0018,Xu Ming,S0103,GalaxySpace,Beijing
F0019,Wei Wensheng,S0104,EdiGene,Beijing
F0020,Hongbo Li,S0107,Geek+,Beijing
F0021,Kai Liu,S0107,Geek+,Beijing
F0022,Yong Zheng,S0107,Geek+,Beijing
F0023,Changhao Jiang,S0108,Cobo,Beijing
F0024,Discus Fish,S0108,Cobo,Beijing
F0025,Jerry Sheng Yue,S0110,Benlai Works,Beijing
F0026,Huafeng Yu,S0110,Benlai Works,Beijing
F0027,Huang Wei (businessman),S0113,Unisound,Beijing
F0028,Jiaen Liang,S0113,Unisound,Beijing
F0029,Zhao Yiyang,S0113,Unisound,Beijing
F0030,Yichuan Hu,S0115,Laiye,Beijing
F0031,Chun'e Ma,S0118,"Shukun (Beijing) Network Technology Co., Ltd.",Beijing
F0032,Li Yong (prince),S0120,Yuanfudao,Beijing
F0033,Xin Liu (entrepreneur) ***@v2ex.com,S0120,Yuanfudao,Beijing
F0034,Shu Chang,S0121,One Space,Beijing
F0035,Han Yan,S0123,Genetron Health,Beijing
F0036,Tina Tianning Yu,S0124,Mevion Medical Systems,Beijing
F0037,Ge Guo,S0125,"Beijing Tiertime Technology Co., Ltd.",Beijing
F0038,Rajiv Jayaraman,S0126,KNOLSKAPE Solutions,Beijing
F0039,Hocking Xu,S0128,AInnovation,Beijing
F0040,Li Lin,S0130,Beijing Health Biotech Co. Ltd.,Beijing
F0041,Yuanyuan Li,S0131,Mobvoi,Beijing
F0042,Sunney Xie,S0137,"Yikon Genomics Co., Ltd.",Beijing
F0043,Dai Wei,S0140,Ofo,Beijing
F0044,Qinghua Guo,S0143,Beijing GreenValley Technology.Co.Ltd.,Beijing
F0045,iDeepWise Artificial Intelligence Robot Technology (Beijing) Co.,S0144,"Beijing Yunjiang Technology Co., Ltd.",Beijing
F0046,Ltd.,S0144,"Beijing Yunjiang Technology Co., Ltd.",Beijing
F0047,Zhiming Yang,S0144,"Beijing Yunjiang Technology Co., Ltd.",Beijing
F0048,Hu Weiwei,S0147,Meituan Bike,Beijing
F0049,Nikita Huang,S0148,DataMesh,Beijing
F0050,Jie Li,S0148,DataMesh,Beijing
F0051,Daixing Zhou,S0149,"Berry Genomics Co.,Ltd",Beijing
F0052,Ying Hou,S0149,"Berry Genomics Co.,Ltd",Beijing
F0053,Xin Ni,S0150,EOC Pharma Group,Beijing
F0054,Xiaoming Zou,S0150,EOC Pharma Group,Beijing
F0055,James LaLonde,S0153,Yodo1,Beijing
F0056,Li Bin,S0154,BeauCare Clinics,Beijing
F0057,Damien Shu,S0157,"Benewake (Beijing) Co., Ltd.",Beijing
F0058,Wu Shufan,S0158,"Beijing MinoSpace Technology Co.,Ltd.",Beijing
F0059,iSpace China,S0159,"Beijing Fangyan Juxing Technology Co., Ltd.",Beijing
F0060,Xiong Lin,S0160,Ziroom,Beijing
F0061,Jaecheol Kim,S0164,Seerslab,Seoul
F0062,Jung-hee Ryu,S0165,KonoLabs,Seoul
F0063,YJ Min **@kono.ai,S0165,KonoLabs,Seoul
F0064,Jaehoon Choi,S0165,KonoLabs,Seoul
F0065,Jeongho Jeon,S0167,DSRV,Seoul
F0066,Ilsu Park,S0170,MARS Auto,Seoul
F0067,Jungin Lee Twitter,S0171,Lunit Inc.,Seoul
F0068,Eric seyoung Jang,S0172,Moneybrain,Seoul
F0069,Sungjae Hwang,S0173,Fluenty Inc.,Seoul
F0070,SeokHwan. You,S0174,Rokit Healthcare Inc.,Seoul
F0071,Kong Pyung,S0177,Looxid Labs,Seoul
